user_id;education;car_flg;flat_flg;gender;salary;age;previous_purchases_flg;in_users_base_flg;number_of_previous_products
0;primary;0;1.0;0;8643.0;61.0;0;0;3.0
1;secondary;0;0.0;0;5537.0;44.0;0;1;11.0
2;primary;1;1.0;0;8985.0;50.0;0;1;39.0
3;secondary;1;0.0;0;5547.0;57.0;0;1;8.0
4;higher;0;0.0;1;9211.0;54.0;0;1;7.0
5;secondary;0;1.0;0;10004.0;63.0;0;1;9.0
6;higher;1;1.0;0;7748.0;44.0;0;1;10.0
7;secondary;0;1.0;1;9924.0;51.0;1;1;17.0
8;higher;1;1.0;1;9428.0;47.0;0;1;12.0
9;secondary;1;1.0;0;5320.0;59.0;1;1;1.0
10;higher;1;0.0;0;12174.0;45.0;0;0;
11;secondary;1;0.0;0;11259.0;43.0;0;1;6.0
12;primary;1;1.0;1;5816.0;52.0;0;1;13.0
13;secondary;1;1.0;0;9000.0;50.0;0;0;6.0
14;secondary;1;0.0;0;8354.0;68.0;0;1;8.0
15;secondary;1;1.0;0;7446.0;57.0;1;0;12.0
16;primary;0;1.0;0;9010.0;51.0;0;1;12.0
17;higher;1;0.0;0;10034.0;57.0;0;0;4.0
18;higher;1;;0;7933.0;52.0;0;0;39.0
19;secondary;0;0.0;1;8864.0;60.0;0;0;34.0
20;higher;1;0.0;0;7547.0;51.0;0;1;38.0
21;higher;0;1.0;0;12030.0;56.0;0;1;13.0
22;higher;1;1.0;0;8355.0;43.0;0;1;
23;primary;0;1.0;1;8917.0;61.0;0;1;12.0
24;higher;0;0.0;0;6280.0;51.0;0;0;4.0
25;higher;1;1.0;0;7145.0;60.0;0;1;1.0
26;primary;0;1.0;0;6744.0;44.0;0;1;10.0
27;higher;0;0.0;0;6486.0;48.0;0;1;3.0
28;higher;1;1.0;0;14619.0;48.0;0;1;14.0
29;higher;0;1.0;0;10888.0;54.0;0;1;12.0
30;secondary;1;0.0;1;9132.0;;0;0;10.0
31;higher;1;0.0;1;4396.0;52.0;0;1;
32;secondary;0;1.0;0;6455.0;49.0;1;1;11.0
33;secondary;1;1.0;1;7392.0;51.0;0;1;7.0
34;primary;1;0.0;0;5679.0;54.0;0;1;4.0
35;secondary;0;1.0;0;9716.0;44.0;0;1;8.0
36;higher;1;1.0;1;8779.0;59.0;1;1;11.0
37;primary;0;1.0;0;7145.0;;0;1;11.0
38;primary;1;0.0;0;12111.0;50.0;0;1;2.0
39;primary;1;1.0;0;9389.0;48.0;1;1;32.0
40;primary;1;0.0;1;;63.0;0;1;5.0
41;higher;0;0.0;0;4432.0;48.0;0;1;33.0
42;primary;0;0.0;0;10634.0;53.0;0;1;7.0
43;primary;1;1.0;0;8423.0;52.0;0;0;7.0
44;secondary;0;1.0;0;8824.0;51.0;0;0;10.0
45;secondary;0;1.0;0;7745.0;56.0;0;1;7.0
46;secondary;1;0.0;1;9735.0;63.0;0;1;11.0
47;secondary;1;1.0;0;4545.0;46.0;0;0;9.0
48;higher;1;1.0;1;5472.0;50.0;0;1;0.0
49;primary;0;1.0;1;6576.0;49.0;0;1;11.0
50;higher;0;0.0;1;7857.0;59.0;0;0;10.0
51;secondary;1;1.0;1;8274.0;53.0;0;1;4.0
52;primary;0;1.0;1;6057.0;33.0;1;1;11.0
53;primary;1;1.0;0;6482.0;57.0;0;1;15.0
54;higher;0;1.0;0;5065.0;44.0;0;0;
55;secondary;0;1.0;0;7768.0;54.0;0;1;15.0
56;secondary;0;1.0;1;8629.0;55.0;0;1;4.0
57;higher;1;0.0;1;6572.0;50.0;0;1;3.0
58;primary;0;0.0;0;12985.0;46.0;0;1;8.0
59;higher;1;1.0;0;8644.0;52.0;0;1;10.0
60;higher;1;0.0;0;8125.0;61.0;0;1;8.0
61;higher;1;0.0;0;6407.0;38.0;0;1;6.0
62;secondary;0;1.0;0;6170.0;48.0;0;1;10.0
63;higher;0;1.0;0;9688.0;50.0;0;0;6.0
64;higher;1;0.0;0;5180.0;51.0;0;0;12.0
65;primary;1;1.0;1;6446.0;43.0;1;1;7.0
66;primary;0;0.0;1;10005.0;54.0;0;1;
67;secondary;1;0.0;0;8368.0;55.0;0;1;14.0
68;primary;1;1.0;0;12735.0;44.0;0;1;9.0
69;secondary;1;0.0;0;9009.0;50.0;0;1;14.0
70;primary;1;1.0;0;5772.0;55.0;0;1;9.0
71;primary;1;0.0;0;10033.0;41.0;0;1;9.0
72;secondary;1;1.0;0;8040.0;49.0;1;0;8.0
73;higher;1;0.0;0;6479.0;51.0;1;0;10.0
74;higher;1;0.0;1;8731.0;53.0;1;1;10.0
75;primary;0;1.0;0;8170.0;51.0;0;1;4.0
76;secondary;0;0.0;1;5468.0;47.0;0;1;10.0
77;secondary;1;1.0;1;9922.0;;0;1;11.0
78;secondary;1;0.0;0;6325.0;57.0;0;1;6.0
79;secondary;0;1.0;0;6347.0;49.0;0;1;2.0
80;secondary;1;1.0;0;6403.0;66.0;0;1;6.0
81;higher;1;0.0;0;11392.0;53.0;0;1;2.0
82;higher;1;0.0;0;9808.0;58.0;0;1;9.0
83;secondary;1;0.0;0;5591.0;50.0;0;1;
84;secondary;1;1.0;0;7421.0;49.0;0;1;14.0
85;higher;0;1.0;0;6483.0;;0;1;12.0
86;secondary;1;0.0;0;5685.0;49.0;0;1;9.0
87;primary;1;1.0;1;7407.0;62.0;1;0;18.0
88;primary;0;1.0;0;6735.0;58.0;0;1;
89;higher;0;0.0;0;10193.0;;0;1;11.0
90;secondary;1;0.0;0;7193.0;46.0;0;1;9.0
91;primary;1;1.0;1;6869.0;45.0;0;1;10.0
92;higher;1;1.0;0;7252.0;51.0;0;1;11.0
93;primary;1;1.0;0;7961.0;57.0;0;1;8.0
94;secondary;0;0.0;0;6297.0;48.0;0;0;5.0
95;higher;1;1.0;0;10431.0;55.0;0;0;6.0
96;primary;1;1.0;0;6082.0;;0;0;8.0
97;secondary;0;0.0;0;11045.0;48.0;0;1;25.0
98;secondary;0;0.0;0;4333.0;24.0;1;1;12.0
99;secondary;1;1.0;0;10769.0;57.0;0;1;6.0
100;secondary;1;0.0;0;7438.0;43.0;1;1;8.0
101;primary;1;1.0;1;10390.0;44.0;0;1;9.0
102;secondary;1;0.0;0;5375.0;49.0;0;1;11.0
103;primary;0;1.0;0;7046.0;57.0;0;1;8.0
104;secondary;1;0.0;0;12176.0;50.0;0;1;18.0
105;higher;1;0.0;1;5464.0;37.0;1;1;7.0
106;secondary;1;1.0;0;8812.0;58.0;0;1;12.0
107;primary;1;0.0;0;7603.0;38.0;1;1;14.0
108;secondary;1;1.0;0;10665.0;61.0;0;1;10.0
109;higher;1;1.0;1;6315.0;42.0;0;1;9.0
110;higher;0;1.0;1;6290.0;;0;1;10.0
111;secondary;1;0.0;1;9383.0;48.0;0;0;8.0
112;secondary;1;0.0;0;9993.0;47.0;0;1;4.0
113;secondary;1;0.0;0;11520.0;45.0;0;1;11.0
114;primary;0;1.0;1;6407.0;52.0;0;1;
115;secondary;1;1.0;1;11269.0;45.0;0;0;12.0
116;higher;1;1.0;1;;53.0;0;1;3.0
117;higher;0;1.0;0;10111.0;45.0;0;1;7.0
118;primary;0;1.0;0;7448.0;53.0;0;1;17.0
119;higher;0;1.0;1;7242.0;43.0;1;0;0.0
120;secondary;0;0.0;0;4168.0;60.0;0;1;7.0
121;secondary;1;1.0;0;7147.0;46.0;0;1;12.0
122;secondary;1;0.0;0;7395.0;59.0;0;1;32.0
123;higher;0;1.0;0;8727.0;43.0;0;1;9.0
124;secondary;0;1.0;1;6077.0;59.0;0;1;6.0
125;secondary;1;1.0;0;6654.0;59.0;0;0;6.0
126;primary;1;0.0;0;8843.0;65.0;0;1;5.0
127;primary;1;0.0;1;6832.0;50.0;0;1;11.0
128;higher;1;1.0;1;6880.0;28.0;1;1;8.0
129;higher;0;0.0;1;7108.0;52.0;0;1;0.0
130;higher;1;0.0;0;6247.0;49.0;0;1;11.0
131;higher;0;;0;7881.0;52.0;0;1;4.0
132;higher;1;0.0;1;7634.0;55.0;1;1;23.0
133;higher;1;0.0;1;8386.0;36.0;1;0;13.0
134;secondary;1;0.0;0;8350.0;53.0;0;1;14.0
135;primary;1;0.0;1;8753.0;48.0;1;1;8.0
136;primary;0;1.0;0;7498.0;52.0;0;1;10.0
137;secondary;1;1.0;0;7211.0;63.0;0;1;0.0
138;secondary;0;;0;7681.0;52.0;0;1;7.0
139;secondary;1;1.0;0;11267.0;44.0;0;1;6.0
140;higher;0;0.0;0;9838.0;57.0;0;1;10.0
141;secondary;1;0.0;1;8886.0;52.0;0;0;
142;higher;1;1.0;1;7683.0;44.0;1;1;4.0
143;secondary;1;0.0;0;7270.0;50.0;0;1;8.0
144;primary;0;1.0;0;7337.0;49.0;0;1;10.0
145;higher;1;1.0;0;6474.0;53.0;1;0;10.0
146;primary;1;0.0;0;5892.0;48.0;1;1;6.0
147;secondary;1;0.0;0;5978.0;46.0;0;1;11.0
148;primary;1;1.0;0;6403.0;51.0;1;1;0.0
149;secondary;1;0.0;0;6205.0;61.0;0;1;8.0
